Código;Descripción;Fecha;Documento;Número;Bodega;Entrada;Salida;Saldo;Valor Unitario;Entrada.1;Salida.1;Saldo.1;Costo Unitario;Empresa_Cliente;Canal_Venta;Punto_Venta
'20;BOLSA DE POLIETILENO 16X18MM;2021-03-12;Entrada por Compra -;37.0;Almacen Central;54.4;0.0;120.6;9.487289;516.11;0.0;1100.79;9.127598;;;
'21;TORNILLO WAFER P/PUNTA BROCA ZINCADO 8X1/2;;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'21;TORNILLO WAFER P/PUNTA BROCA ZINCADO 8X1/2;2021-03-26;Entrada por Compra -;42.0;Almacen Central;4.0;0.0;4.0;20.338983;81.36;0.0;81.36;20.339491;;;
'22;MATRIZ RECT ESP FONDO 50 DE 3/4, 1 CIZALLA, 2 NOCKAUT DE 3/4.BLOQUE DE ACERO BONIFICADO CON 2 GUIAS;;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'22;MATRIZ RECT ESP FONDO 50 DE 3/4, 1 CIZALLA, 2 NOCKAUT DE 3/4.BLOQUE DE ACERO BONIFICADO CON 2 GUIAS;2021-03-30;Entrada por Compra -;45.0;Almacen Central;1.0;0.0;1.0;7500.0;7500.0;0.0;7500.0;7500.0;;;
'23;MATRIZ DE EMBUTIDO CAJA OCTOGONAL PARA 0.70 Y 0.90;;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'23;MATRIZ DE EMBUTIDO CAJA OCTOGONAL PARA 0.70 Y 0.90;2021-03-01;Entrada por Compra -;54.0;Almacen Central;1.0;0.0;1.0;5200.0;5200.0;0.0;5200.0;5200.0;;;
'24;MATRIZ DE CABECERA PROGRESIVA DE 1/2;;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'24;MATRIZ DE CABECERA PROGRESIVA DE 1/2;2021-04-14;Entrada por Compra -;62.0;Almacen Central;1.0;0.0;1.0;2584.745;2584.75;0.0;2584.75;2584.745;;;
'25;PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'25;PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm);2021-02-09;Entrada por Compra -;73.0;Almacen Central;1.0;0.0;1.0;61.02;61.02;0.0;61.02;61.02;;;
'25;PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm);2021-05-03;Entrada por Compra -;78.0;Almacen Central;50.0;0.0;51.0;54.661;2733.05;0.0;2794.07;54.785686;;;
'25;PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm);2021-06-14;Entrada por Compra -;85.0;Almacen Central;20.0;0.0;71.0;55.084745;1101.69;0.0;3895.76;54.869858;;;
'25;PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm);2021-07-14;Entrada por Compra -;76.0;Almacen Central;100.0;0.0;171.0;58.05085;5805.09;0.0;9700.85;56.730116;;;
'25;PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm);2021-08-28;Entrada por Compra -;107.0;Almacen Central;70.0;0.0;241.0;62.711864;4389.83;0.0;14090.68;58.467551;;;
'25;PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm);2021-09-08;Entrada por Compra -;72.0;Almacen Central;10.0;0.0;251.0;65.68;656.8;0.0;14747.48;58.754899;;;
'25;PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm);2021-09-30;Entrada por Compra -;117.0;Almacen Central;100.0;0.0;351.0;68.6441;6864.41;0.0;21611.89;61.572335;;;
'25;PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm);2021-09-30;Ajuste de Salida;11.0;Almacen Central;0.0;296.0;55.0;0.0;0.0;18225.41;3386.48;61.572335;Madrid INMOBILIARIA;Online;
'25;PLANCHA GALVANIZADA  F°G° 0.60 (1200x2400mm);2021-12-14;Entrada por Compra -;188.0;Almacen Central;15.0;0.0;70.0;71.87;1078.05;0.0;4464.53;63.778977;;;
'26;AMOLADORA BOSCH 670W;;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'26;AMOLADORA BOSCH 670W;2021-03-01;Entrada por Compra -;55.0;Almacen Central;1.0;0.0;1.0;161.02;161.02;0.0;161.02;161.02;;;
'27;GATA BOTELLA TRUPER DE 2 TON;;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'27;GATA BOTELLA TRUPER DE 2 TON;2021-04-29;Entrada por Compra -;71.0;Almacen Central;2.0;0.0;2.0;42.372882;84.75;0.0;84.75;42.372882;;;
'28;MATRIZ PUNZONADORA Y DOBLADORA DE OREJAS PARA CAJA RECT LIVIANA Y PESADA;;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'32;CAJA DE PASE  350X350X150MM  (F.G. 1.20);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'32;CAJA DE PASE  350X350X150MM  (F.G. 1.20);2021-01-01;Apertura;8.0;Almacen Central;8.0;0.0;8.0;1.0;8.0;0.0;8.0;1.0;;;
'32;CAJA DE PASE  350X350X150MM  (F.G. 1.20);2021-01-01;Guía de remisión - R;2.0;Almacen Central;0.0;8.0;0.0;0.0;0.0;8.0;0.0;1.0;Consultores en Ingeniería y Mantenimiento General S.A.C.;Presencial;Sector B
'33;CAJA DE PASE  400X150X150MM   (F.G. 1.20);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'33;CAJA DE PASE  400X150X150MM   (F.G. 1.20);2021-01-01;Apertura;9.0;Almacen Central;3.0;0.0;3.0;1.0;3.0;0.0;3.0;1.0;;;
'33;CAJA DE PASE  400X150X150MM   (F.G. 1.20);2021-01-01;Guía de remisión - R;2.0;Almacen Central;0.0;3.0;0.0;0.0;0.0;3.0;0.0;1.0;JEF;Presencial;Sector A
'34;CAJA DE PASE 650X350X150MM C/TAPA PINTADA Y DOBLES 90°  (F.G. 1.20);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'34;CAJA DE PASE 650X350X150MM C/TAPA PINTADA Y DOBLES 90°  (F.G. 1.20);2021-01-01;Apertura;9.0;Almacen Central;16.0;0.0;16.0;1.0;16.0;0.0;16.0;1.0;;;
'34;CAJA DE PASE 650X350X150MM C/TAPA PINTADA Y DOBLES 90°  (F.G. 1.20);2021-01-01;Guía de remisión - R;2.0;Almacen Central;0.0;16.0;0.0;0.0;0.0;16.0;0.0;1.0;NEVADO CONSTRUCTORA;Presencial;Sector B
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);2021-01-01;Apertura;23.0;Almacen Central;3.0;0.0;3.0;1.0;3.0;0.0;3.0;1.0;;;
'35;CAJA DE PASE 300X300X150MM CIEGA (F. G. 0.75);2021-02-06;Guía de remisión - R;62.0;Almacen Central;0.0;3.0;0.0;0.0;0.0;3.0;0.0;1.0;GCG - GARCIA CONTRATISTAS GENERALES S.A.;Online;
'36;CAJA RECT 100X60X50MM 1/2 (F.G.1.15);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'36;CAJA RECT 100X60X50MM 1/2 (F.G.1.15);2021-01-01;Apertura;25.0;Almacen Central;1072.0;0.0;1072.0;1.0;1072.0;0.0;1072.0;1.0;;;
'36;CAJA RECT 100X60X50MM 1/2 (F.G.1.15);2021-01-01;Apertura;26.0;Almacen Central;3000.0;0.0;4072.0;1.0;3000.0;0.0;4072.0;1.0;;;
'36;CAJA RECT 100X60X50MM 1/2 (F.G.1.15);2021-01-01;Apertura;27.0;Almacen Central;1054.0;0.0;5126.0;1.0;1054.0;0.0;5126.0;1.0;;;
'36;CAJA RECT 100X60X50MM 1/2 (F.G.1.15);2021-02-10;Guía de remisión - R;63.0;Almacen Central;0.0;1072.0;4054.0;0.0;0.0;1072.0;4054.0;1.0;ELCONSI;Online;
'36;CAJA RECT 100X60X50MM 1/2 (F.G.1.15);2021-02-10;Guía de remisión - R;64.0;Almacen Central;0.0;3000.0;1054.0;0.0;0.0;3000.0;1054.0;1.0;ELCONSI;Online;
'36;CAJA RECT 100X60X50MM 1/2 (F.G.1.15);2021-02-10;Guía de remisión - R;66.0;Almacen Central;0.0;1054.0;0.0;0.0;0.0;1054.0;0.0;1.0;Consultores en Ingeniería y Mantenimiento General S.A.C.;Presencial;Sector B
'37;TAPA TELEF. 650X350X130MM (F.G.1.20);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'37;TAPA TELEF. 650X350X130MM (F.G.1.20);2021-01-01;Apertura;28.0;Almacen Central;20.0;0.0;20.0;1.0;20.0;0.0;20.0;1.0;;;
'37;TAPA TELEF. 650X350X130MM (F.G.1.20);2021-02-10;Guía de remisión - R;67.0;Almacen Central;0.0;20.0;0.0;0.0;0.0;20.0;0.0;1.0;CIM;Presencial;Sector B
'38;CAJA TELEF. 650X350X130MM (F.G.1.20);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'38;CAJA TELEF. 650X350X130MM (F.G.1.20);2021-01-01;Apertura;29.0;Almacen Central;10.0;0.0;10.0;1.0;10.0;0.0;10.0;1.0;;;
'38;CAJA TELEF. 650X350X130MM (F.G.1.20);2021-02-10;Guía de remisión - R;67.0;Almacen Central;0.0;10.0;0.0;0.0;0.0;10.0;0.0;1.0;H&R ELECTRICAL ENGINEERS S.A.C.;Presencial;Sector B
'39;CAJA DE PASE 200X200X75MM 1 1/4” (F.G 1.50);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'39;CAJA DE PASE 200X200X75MM 1 1/4” (F.G 1.50);2021-01-01;Apertura;30.0;Almacen Central;32.0;0.0;32.0;1.0;32.0;0.0;32.0;1.0;;;
'39;CAJA DE PASE 200X200X75MM 1 1/4” (F.G 1.50);2021-02-22;Guía de remisión - R;91.0;Almacen Central;0.0;32.0;0.0;0.0;0.0;32.0;0.0;1.0;ELCONSI;Presencial;Sector B
'4;BOLSA DE POLIETILENO 16X24MM;;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'4;BOLSA DE POLIETILENO 16X24MM;2021-03-01;Entrada por Compra -;53.0;Almacen Central;67.4;0.0;67.4;8.832;595.28;0.0;595.28;8.832;;;
'4;BOLSA DE POLIETILENO 16X24MM;2021-03-12;Entrada por Compra -;37.0;Almacen Central;55.8;0.0;123.2;9.487289;529.39;0.0;1124.67;9.128788;;;
'4;BOLSA DE POLIETILENO 16X24MM;2021-04-14;Entrada por Compra -;66.0;Almacen Central;112.6;0.0;235.8;8.5152;958.81;0.0;2083.48;8.835778;;;
'40;CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'40;CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50);2021-01-01;Apertura;38.0;Almacen Central;500.0;0.0;500.0;1.0;500.0;0.0;500.0;1.0;;;
'40;CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50);2021-01-01;Apertura;52.0;Almacen Central;150.0;0.0;650.0;1.0;150.0;0.0;650.0;1.0;;;
'40;CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50);2021-03-04;Guía de remisión - R;155.0;Almacen Central;0.0;150.0;500.0;0.0;0.0;150.0;500.0;1.0;H&R ELECTRICAL ENGINEERS S.A.C.;Presencial;Sector A
'40;CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50);2021-03-08;Guía de remisión - R;131.0;Almacen Central;0.0;500.0;0.0;0.0;0.0;500.0;0.0;1.0;H&R ELECTRICAL ENGINEERS S.A.C.;Presencial;Sector B
'40;CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50);2021-11-15;Entrada por Producci;125.0;Almacen Central;35.0;0.0;35.0;1.0;35.0;0.0;35.0;1.0;;;
'40;CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50);2021-11-15;Guía de remisión - R;184.0;Almacen Central;0.0;35.0;0.0;0.0;0.0;35.0;0.0;1.0;ARCHENGINE CONSULTORA S.A.C.;Online;
'40;CAJA DE PASE 100X100X69MM 3/4 (F.G.1.50);2021-11-15;Guía de remisión - R;184.0;Almacen Punto de Ventas 1;35.0;0.0;35.0;0.0;35.0;0.0;35.0;1.0;;;
'41;CAJA DE PASE 500X300X300MM CIEGA (F.G.1.15);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'41;CAJA DE PASE 500X300X300MM CIEGA (F.G.1.15);2021-01-01;Apertura;39.0;Almacen Central;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;;;
'41;CAJA DE PASE 500X300X300MM CIEGA (F.G.1.15);2021-09-15;Ajuste de Salida;9.0;Almacen Central;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;CIM;Presencial;Sector A
'42;CAJA DE PASE 400X300X100MM CIEGA (F.G.1.15);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'42;CAJA DE PASE 400X300X100MM CIEGA (F.G.1.15);2021-01-01;Apertura;39.0;Almacen Central;1.0;0.0;1.0;1.0;1.0;0.0;1.0;1.0;;;
'42;CAJA DE PASE 400X300X100MM CIEGA (F.G.1.15);2021-09-15;Ajuste de Salida;9.0;Almacen Central;0.0;1.0;0.0;0.0;0.0;1.0;0.0;1.0;Madrid INMOBILIARIA;Presencial;Sector B
'43;TAPA REDONDA CON LOGO 3/4 (F.G.1.20);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'43;TAPA REDONDA CON LOGO 3/4 (F.G.1.20);2021-01-01;Apertura;41.0;Almacen Central;500.0;0.0;500.0;1.0;500.0;0.0;500.0;1.0;;;
'43;TAPA REDONDA CON LOGO 3/4 (F.G.1.20);2021-03-08;Guía de remisión - R;131.0;Almacen Central;0.0;500.0;0.0;0.0;0.0;500.0;0.0;1.0;CIM;Presencial;Sector B
'44;CAJA RECT 100X60X50MM 3/4 (F.G.1.15);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'44;CAJA RECT 100X60X50MM 3/4 (F.G.1.15);2021-01-01;Apertura;42.0;Almacen Central;600.0;0.0;600.0;1.0;600.0;0.0;600.0;1.0;;;
'44;CAJA RECT 100X60X50MM 3/4 (F.G.1.15);2021-03-08;Guía de remisión - R;132.0;Almacen Central;0.0;600.0;0.0;0.0;0.0;600.0;0.0;1.0;ELCONSI;Presencial;Sector B
'44;CAJA RECT 100X60X50MM 3/4 (F.G.1.15);2021-10-01;Apertura;155.0;Almacen Punto de Venta 2;44.0;0.0;44.0;1.0;44.0;0.0;44.0;1.0;;;
'45;CAJA DE PASE 200X200X70MM 3/4 (F.G.1.50);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
'45;CAJA DE PASE 200X200X70MM 3/4 (F.G.1.50);2021-01-01;Apertura;43.0;Almacen Central;16.0;0.0;16.0;1.0;16.0;0.0;16.0;1.0;;;
'45;CAJA DE PASE 200X200X70MM 3/4 (F.G.1.50);2021-01-01;Apertura;47.0;Almacen Central;5.0;0.0;21.0;1.0;5.0;0.0;21.0;1.0;;;
'45;CAJA DE PASE 200X200X70MM 3/4 (F.G.1.50);2021-01-01;Apertura;48.0;Almacen Central;5.0;0.0;26.0;1.0;5.0;0.0;26.0;1.0;;;
'45;CAJA DE PASE 200X200X70MM 3/4 (F.G.1.50);2021-03-24;Guía de remisión - R;142.0;Almacen Central;0.0;16.0;10.0;0.0;0.0;16.0;10.0;1.0;GCG - GARCIA CONTRATISTAS GENERALES S.A.;Presencial;Sector B
'45;CAJA DE PASE 200X200X70MM 3/4 (F.G.1.50);2021-03-24;Guía de remisión - R;150.0;Almacen Central;0.0;5.0;5.0;0.0;0.0;5.0;5.0;1.0;CIM;Presencial;Sector B
'45;CAJA DE PASE 200X200X70MM 3/4 (F.G.1.50);2021-03-24;Guía de remisión - R;151.0;Almacen Central;0.0;5.0;0.0;0.0;0.0;5.0;0.0;1.0;NEVADO CONSTRUCTORA;Presencial;Sector A
'46;CAJA RECT 100X55X40MM 1/2 (F. G. 1.50);;Saldo Anterior;;;;0.0;0.0;;;;0.0;0.0;;;
