Código;Descripción;Fecha;Documento;Número;Bodega;Entrada;Salida;Saldo;Valor Unitario;Entrada.1;Salida.1;Saldo.1;Costo Unitario;Empresa_Cliente;Canal_Venta;Punto_Venta
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-04-10;Guía de remisión - R;32.0;Almacen Central;0.0;2000.0;83259.0;0.0;0.0;1999.79;83251.33;0.999893;Madrid INMOBILIARIA;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-04-17;Guía de remisión - R;34.0;Almacen Central;0.0;2000.0;83259.0;0.0;0.0;1999.79;83251.33;0.999893;Consultores en Ingeniería y Mantenimiento General S.A.C.;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-04-19;Guía de remisión - R;35.0;Almacen Central;0.0;2000.0;83259.0;0.0;0.0;1999.79;83251.33;0.999893;PROCISA INGENIEROS S.A.C.;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-04-19;Guía de remisión - R;182.0;Almacen Central;0.0;66.0;85193.0;0.0;0.0;65.99;85185.13;0.999893;PROCISA INGENIEROS S.A.C.;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-04-27;Guía de remisión - R;193.0;Almacen Central;0.0;500.0;84693.0;0.0;0.0;499.95;84685.18;0.999893;ELCONSI;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-05-06;Guía de remisión - R;195.0;Almacen Central;0.0;700.0;83993.0;0.0;0.0;699.93;83985.25;0.999893;H&R ELECTRICAL ENGINEERS S.A.C.;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-05-07;Guía de remisión - R;44.0;Almacen Central;0.0;1000.0;82993.0;0.0;0.0;999.89;82985.36;0.999893;Madrid INMOBILIARIA;Presencial;Sector A
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-05-11;Guía de remisión - R;45.0;Almacen Central;0.0;1000.0;82993.0;0.0;0.0;999.89;82985.36;0.999893;SETECOM AIR;Presencial;Sector B
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-05-12;Guía de remisión - R;46.0;Almacen Central;0.0;2000.0;81993.0;0.0;0.0;1999.79;81985.46;0.999893;NEVADO CONSTRUCTORA;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-05-13;Guía de remisión - R;47.0;Almacen Central;0.0;2000.0;81993.0;0.0;0.0;1999.79;81985.46;0.999893;CIM;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-05-20;Guía de remisión - R;50.0;Almacen Central;0.0;1000.0;82993.0;0.0;0.0;999.89;82985.36;0.999893;Madrid INMOBILIARIA;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-05-27;Guía de remisión - R;53.0;Almacen Central;0.0;500.0;83493.0;0.0;0.0;499.95;83485.3;0.999893;ELCONSI;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-05-27;Guía de remisión - R;53.0;Almacen Central;0.0;2000.0;81993.0;0.0;0.0;1999.79;81985.46;0.999893;PROCISA INGENIEROS S.A.C.;Online;
CEO 001;CAJA OCTOG 100X40MM  1/2 (F. G. 0.75).;2021-05-31;Guía de remisión - R;55.0;Almacen Central;0.0;1000.0;82993.0;0.0;0.0;999.89;82985.36;0.999893;NEVADO CONSTRUCTORA;Online;
