Semana_Inicio;Ventas_Semanales;Produccion_Semanal;Stock_Cierre_Semanal
2024-04-01;48556.0;32111.0;38615.0
2024-04-08;26648.0;33815.0;42618.0
2024-04-15;27077.0;25616.0;45606.0
2024-04-22;35120.4;33096.0;48431.0
2024-04-29;9932.0;5857.0;33480.0
2024-05-06;12015.0;18824.0;47859.0
2024-05-13;11479.5;19649.0;52601.5
2024-05-20;21739.5;22155.0;54705.0
2024-05-27;15831.5;33244.0;76682.0
2024-06-03;11013.0;12187.0;73667.5
2024-06-10;21258.0;19260.0;73646.5
2024-06-17;13535.5;11654.0;66842.0
2024-06-24;25051.0;13716.0;63271.0
2024-07-01;11963.0;21787.0;71698.0
2024-07-08;20611.0;16060.0;65135.5
2024-07-15;14653.5;21063.0;68741.0
2024-07-22;17252.5;13180.0;59368.0
2024-07-29;12982.5;14354.0;69076.5
2024-08-05;13146.0;13515.0;67793.5
2024-08-12;18462.0;12740.0;55880.0
2024-08-19;20789.5;24291.0;67140.5
2024-08-26;9303.0;8408.0;58170.0
2024-09-02;19192.0;14006.0;52828.5
2024-09-09;13851.0;23406.0;64050.5
2024-09-16;17524.0;10898.0;54727.5
2024-09-23;20480.5;15890.0;59507.0
2024-09-30;16615.5;21643.0;54586.5
2024-10-07;10883.5;8735.0;53394.5
2024-10-14;14127.0;24191.0;64952.5
2024-10-21;10428.5;27095.0;78590.5
2024-10-28;9166.0;9737.0;81333.5
2024-11-04;18422.5;11535.0;66758.5
2024-11-11;18283.0;10445.0;64132.5
2024-11-18;12212.0;28178.0;81189.5
2024-11-25;10662.0;16691.0;87762.5
2024-12-02;7907.5;17349.0;90923.0
2024-12-09;16772.5;8104.0;86187.5
2024-12-16;6429.0;679.0;79033.0
2024-12-23;17023.0;11365.0;69309.0
2024-12-30;15383.0;13692.0;66547.0
2025-01-06;23614.0;18462.0;66050.0
2025-01-13;22230.0;32416.0;81634.0
2025-01-20;17983.5;13586.0;61269.5
2025-01-27;11751.5;5719.0;41222.0
2025-02-03;14235.0;3353.0;44989.0
2025-02-10;15214.0;9623.0;28130.0
2025-02-17;20734.0;12894.0;28875.0
2025-02-24;13342.0;10419.0;34705.0
2025-03-03;20188.0;13747.0;45002.0
2025-03-10;25782.0;35098.0;42844.0
2025-03-17;16696.0;26617.0;41025.0
2025-03-24;23065.0;9674.0;22204.0
2025-03-31;13135.0;16729.0;27823.0
2025-04-07;11423.0;22137.0;40130.0
2025-04-14;7726.0;7992.0;36091.0
2025-04-21;29837.0;32946.0;54407.0
2025-04-28;30564.0;14645.0;49008.0
2025-05-05;19382.0;25420.0;56088.0
2025-05-12;22730.0;17519.0;51366.0
2025-05-19;11000.0;20694.0;59711.0
2025-05-26;20910.0;31248.0;78187.0
