Semana_Inicio;Ventas_Semanales;Produccion_Semanal;Planchas_Ventas;Planchas_Produccion;Planchas_Gap
2024-02-05;277.0;48.0;1.939;0.336;-1.603
2024-02-12;300.0;0.0;2.1;0.0;-2.1
2024-02-19;225.0;0.0;1.575;0.0;-1.575
2024-02-26;850.0;0.0;5.95;0.0;-5.95
2024-03-04;215.0;0.0;1.5050000000000001;0.0;-1.5050000000000001
2024-03-11;50.0;0.0;0.35000000000000003;0.0;-0.35000000000000003
2024-03-18;100.0;700.0;0.7000000000000001;4.9;4.2
2024-03-25;1000.0;9000.0;7.0;63.0;56.0
2024-04-01;8502.0;0.0;59.514;0.0;-59.514
2024-04-08;10.0;0.0;0.07;0.0;-0.07
2024-04-15;700.0;17.0;4.9;0.11900000000000001;-4.781000000000001
2024-04-22;1890.0;2653.0;13.23;18.571;5.341000000000001
2024-05-06;500.0;2568.0;3.5;17.976;14.475999999999999
2024-05-13;440.0;0.0;3.08;0.0;-3.08
2024-05-20;1100.0;0.0;7.7;0.0;-7.7
2024-05-27;450.0;792.0;3.15;5.5440000000000005;2.3940000000000006
2024-06-03;1237.0;0.0;8.659;0.0;-8.659
2024-06-10;840.0;1905.0;5.88;13.335;7.455000000000001
2024-06-24;520.0;2580.0;3.64;18.06;14.419999999999998
2024-07-01;40.0;0.0;0.28;0.0;-0.28
2024-07-08;700.0;0.0;4.9;0.0;-4.9
2024-07-15;200.0;0.0;1.4000000000000001;0.0;-1.4000000000000001
2024-07-29;198.0;0.0;1.3860000000000001;0.0;-1.3860000000000001
2024-08-05;35.0;0.0;0.245;0.0;-0.245
2024-08-12;25.0;0.0;0.17500000000000002;0.0;-0.17500000000000002
2024-08-19;1120.0;481.0;7.84;3.367;-4.473
2024-08-26;162.0;3894.0;1.1340000000000001;27.258;26.124
2024-09-02;1700.0;0.0;11.9;0.0;-11.9
2024-09-09;204.0;0.0;1.428;0.0;-1.428
2024-09-16;1800.0;0.0;12.6;0.0;-12.6
2024-09-23;850.0;307.0;5.95;2.149;-3.801
2024-09-30;201.0;3074.0;1.407;21.518;20.111
2024-10-07;1350.0;0.0;9.450000000000001;0.0;-9.450000000000001
2024-10-14;850.0;0.0;5.95;0.0;-5.95
2024-10-21;109.0;2062.0;0.763;14.434000000000001;13.671000000000001
2024-10-28;569.0;0.0;3.983;0.0;-3.983
2024-11-04;1308.0;900.0;9.156;6.3;-2.8560000000000008
2024-11-11;369.0;1657.0;2.583;11.599;9.016
2024-11-18;65.0;0.0;0.455;0.0;-0.455
2024-11-25;100.0;44.0;0.7000000000000001;0.308;-0.39200000000000007
2024-12-02;531.0;0.0;3.717;0.0;-3.717
2024-12-09;1500.0;150.0;10.5;1.05;-9.45
2024-12-16;460.0;0.0;3.22;0.0;-3.22
2024-12-23;350.0;0.0;2.45;0.0;-2.45
2024-12-30;700.0;0.0;4.9;0.0;-4.9
2025-01-06;330.0;0.0;2.31;0.0;-2.31
2025-01-13;1445.0;2459.0;10.115;17.213;7.098000000000001
2025-01-20;1506.0;3460.0;10.542;24.22;13.677999999999999
2025-01-27;1200.0;0.0;8.4;0.0;-8.4
2025-02-03;1350.0;0.0;9.450000000000001;0.0;-9.450000000000001
2025-02-10;80.0;2580.0;0.56;18.06;17.5
2025-02-17;427.0;0.0;2.989;0.0;-2.989
2025-02-24;1760.0;0.0;12.32;0.0;-12.32
2025-03-03;1000.0;62.0;7.0;0.434;-6.566
2025-03-10;135.0;0.0;0.9450000000000001;0.0;-0.9450000000000001
2025-03-17;1150.0;4524.0;8.05;31.668;23.618
2025-03-24;304.0;0.0;2.128;0.0;-2.128
2025-03-31;710.0;0.0;4.97;0.0;-4.97
2025-04-07;550.0;0.0;3.85;0.0;-3.85
2025-04-14;1200.0;1500.0;8.4;10.5;2.0999999999999996
2025-04-21;4134.0;2118.0;28.938;14.826;-14.111999999999998
2025-04-28;1165.0;4537.0;8.155;31.759;23.604
2025-05-05;3703.0;3868.0;25.921;27.076;1.1550000000000011
2025-05-12;5900.0;3815.0;41.300000000000004;26.705000000000002;-14.595000000000002
2025-05-19;1055.0;2578.0;7.385;18.046;10.661
2025-05-26;641.0;419.0;4.487;2.9330000000000003;-1.5539999999999998
