Código;Salida_Total;Descripción;Stock_Promedio;Rotacion
CERE 003;1628.0;CAJA RECT 100X65X50MM BC 1/2 (F.G. 1.50);84.14814814814815;19.346830985915492
CUC-00001;625.0;"CURVA EMT 20MM/ 3/4"" -UL";32.38028169014085;19.301870378425402
CPE-00157;105.0;CAJA DE PASE 150X150X50MM CIEGA (F.G. 1.20);5.45;19.26605504587156
CPE-00087;172.0;CAJA DE PASE 250X250X150MM CIEGA (F.G. 1.20).;8.944444444444445;19.22981366459627
CPE-00188;425.0;"CAJA DE PASE 150X150X100MM 1"" (F.G. 1.20)";22.36842105263158;19.0
CPE-00584;11.0;CAJA DE PASE 400X440X100MM CIEGA (F.G.0.70);0.5789473684210527;19.0
CPE-00113;23.0;CAJA DE PASE 400X400X150MM CIEGA (F.G. 1.50);1.2105263157894737;19.0
CP-00031;83.0;CAJA DE PASE 150X150X100MM CIEGA (F. G. 0.90);4.368421052631579;19.0
CPE-00138;41.0;CAJA DE PASE  350X350X150MM  CIEGA (F.G. 1.20);2.1578947368421053;19.0
GA-00011;325.0;GABINETE ADOSABLE 650X350X150MM CIEGA (F. G. 1.50);17.333333333333332;18.75
CEO-032;3825.0;CAJA OCTOG 100X55MM BC 1/2 (F.G 1.20).;204.36;18.716970052847913
CPE-00160;118.0;CAJA DE PASE 150X150X50MM 3/4 (F. G. 1.20);6.315789473684211;18.683333333333334
CPE-00076;217.0;CAJA DE PASE 250X250X100MM (F.G. 1.50);11.631578947368421;18.65610859728507
TPC-00010;872.0;TAPA CIEGA RECT  (F. G. 1.50);47.36842105263158;18.40888888888889
CEO-023;6487.0;CAJA OCTOG 100X50MM BC 1/2 (F. G. 0.90);353.02702702702703;18.375363650283266
CECCD-00001;40.0;CAJA CUADRADA CONDUIT 4X4X2``3/4´´ 3 SALIDAS ALUMINIO;2.1818181818181817;18.333333333333336
'46;20113.0;CAJA RECT 100X55X40MM 1/2 (F. G. 1.50);1100.5;18.276238073602908
CEO-015;10438.0;CAJA OCTOG 100X55MM BR 3/4 (F.G 1.20).;584.6379310344828;17.853785130791234
CPE-00145;94.0;CAJA DE PASE 150X150X70MM CIEGA (F.G. 1.20);5.277777777777778;17.810526315789474
CPE-00654;16.0;CAJA DE PASE 400X400X150MM CIEGA (F. G. 0.70).;0.9047619047619048;17.684210526315788
CPE-00027;393.0;CAJA DE PASE 100X100X100MM  3/4 (F.G. 1.50).;22.25;17.662921348314608
CPE-00310;1642.0;CAJA DE PASE 150X150X75MM CIEGA (F. G. 0.75).;93.84955752212389;17.496086751532296
RUNIS-00004;430.0;RIEL UNISTRUT BAJO RANU 410X210X3000mm (FG. 1.50);24.86111111111111;17.29608938547486
COC-00012;194.0;"CONECTOR HERMETICO RECTO 25MM/ 1"" LIQUID TIGHT";11.222222222222221;17.28712871287129
ABZ-00001;448.0;"ABRAZADERA CONDUIT 1 OREJA 1""  EMT";26.105263157894736;17.161290322580644
TPH-00001;24432.0;TAPA OCTOG  1/2 (F. G. 0.75).;1424.1195652173913;17.155862890115174
CUC-00003;82.0;"CURVA EMT 35MM/ 1 1/4"" -UL";4.791666666666667;17.11304347826087
TPC-00005;4231.0;TAPA CIEGA OCTOG. (F.G. 1.50).;248.30769230769232;17.039343246592317
ABZ-00015;264.0;ABRAZADERA FG 2 OREJAS 40MM;15.5;17.032258064516128
CPE-00213;38.0;"CAJA DE PASE 200X200X100MM 1"" (F. G.1.20)";2.235294117647059;17.0
CPE-00624;32.0;CAJA DE PASE 150X150X150MM CIEGA (F.G. 0.75);1.8823529411764706;17.0
CPE-00092;54.0;CAJA DE PASE 300X300X120MM CIEGA (F. G. 1.20);3.176470588235294;17.0
ABZ-00027;146.0;"ABRAZADERA UNISTRUT 1 1/4"" EMT - RIGID";8.588235294117647;17.0
