Código;Num_Transacciones;Salida_Total;Salida_Promedio;Salida_Std;Salida_Min;Salida_Max;Descripción;Acumulado_pct
BANR-00007;3;379.8;126.60000000000001;154.216341546543;4.8;300.0;BANDEJA RANURADA 200X100MM (F.G. 1.20);98.95605605020691
GA-00019;13;378.0;29.076923076923077;34.42252542173883;2.0;120.0;GABINETE ADOSABLE 650X350X150MM CIEGA (F. G. 1.20);98.96470770908354
CP-00039;17;367.0;21.58823529411765;26.828293888005188;1.0;104.0;CAJA DE PASE 200X200X100MM (F. G. 1.50);98.97310760010926
CPE-00964;1;360.0;360.0;;360.0;360.0;CAJA DE PASE 100X100X70MM 3/4 (F. G. 1.50);98.98134727522985
CPE-00142;31;357.0;11.516129032258064;20.636328755767803;1.0;100.0;CAJA DE PASE 200X200X75MM 1” (F.G 1.20);98.9895182863911
UNC-00007;18;352.0;19.555555555555557;16.29587541544042;4.0;50.0;"UNION EMT 40MM/ 1 1/2"" -UL";98.99757485762014
CPE-00158;3;350.0;116.66666666666667;57.735026918962575;50.0;150.0;CAJA DE PASE 100X100X50MM HCO ESP 3/4 (F. G. 1.20);99.00558565287626
CPE-00035;7;347.0;49.57142857142857;43.258360050812314;2.0;120.0;CAJA DE PASE 150X150X50MM 3/4 (F. G. 0.90);99.01352778417306
CPE-00059;8;335.0;41.875;47.43247079495528;1.0;151.0;CAJA DE PASE 400X250X100MM CON H/NORMAL (F.G 0.75);99.0211952596325
GA-00011;13;325.0;25.0;13.47837774610382;2.0;42.0;GABINETE ADOSABLE 650X350X150MM CIEGA (F. G. 1.50);99.0286338552275
SCHU-0009;1;325.0;325.0;;325.0;325.0;CAJA SCHUKO 130X55X75MM 3/4 (F. G. 1.50);99.03607245082247
ABZ-00016;9;325.0;36.111111111111114;28.48001248439177;5.0;100.0;"ABRAZADERA UNISTRUT  1 1/2"" EMT - RIGID";99.04351104641746
CUC-00008;16;310.0;19.375;27.05519050632121;1.0;100.0;"CURVA EMT 15MM/ 1/2"" -UL";99.05060632221576
TBC-00002;19;308.0;16.210526315789473;16.0436174480294;1.0;70.0;"TUBERIA CONDUIT EMT 20MM/ 3/4"" LIVIANO";99.05765582204116
TBC-00001;15;304.0;20.266666666666666;17.098315149522218;2.0;60.0;"TUBERIA  CONDUIT EMT 15MM/ 1/2"" LIVIANO";99.06461376992077
CPE-00436;13;304.0;23.384615384615383;20.14753277508383;1.0;60.0;CAJA DE PASE 150X150X100MM 3/4 (F.G. 1.50);99.07157171780038
PN-00003;1;300.0;300.0;;300.0;300.0;PERNO COCHE ZNC NCG°2   1/4”  X 3/4”;99.07843811373421
VLLA-00001;5;293.0;58.6;48.31976821136459;3.0;100.0;ROSC 3/8 X 1.80MTS.;99.08514429376291
PG-00002;26;289.0;11.115384615384615;15.250775516220603;1.0;50.0;PLANCHA GALVANIZADA F°G° 1.90 (1200x2400mm);99.09175892184584
CPE-00095;51;289.0;5.666666666666667;16.913505451758564;1.0;120.0;CAJA DE PASE 300X300X150MM (F.G. 0.75).;99.09837354992877
TPC-00014;57;287.0;5.035087719298246;5.308231183335871;1.0;20.0;TAPA CIEGA 200X200MM (F.G 0.75).;99.10494240203879
ABZ-00006;12;287.0;23.916666666666668;29.40147903927572;4.0;100.0;ABRAZADERA FG 2 OREJAS 25MM  1”;99.11151125414882
CPE-00012;5;281.0;56.2;35.3864380801459;1.0;100.0;CAJA DE PASE 100X100X55MM CIEGA (F.G. 1.50).;99.11794277834018
UNC-00003;12;277.0;23.083333333333332;17.443197858052045;2.0;56.0;"UNION EMT 35MM/ 1 1/4"" -UL";99.12428275058575
SCHU-0029;4;276.0;69.0;43.174066289845804;35.0;125.0;CAJA SCHUKO 130X70X50MM 1/2 (F. G. 1.20).;99.13059983484487
TPC-00017;6;270.0;45.0;39.31411960097797;10.0;100.0;TAPA CUADRADA GANG CIEGA 100X100MM (F.G 0.70);99.13677959118532
CPE-01046;19;269.0;14.157894736842104;15.348771785443857;1.0;50.0;CAJA DE PASE 200X200X100MM (F. G. 0.80).;99.14293645953931
TP-0023;4;265.0;66.25;75.64996144524244;10.0;175.0;TAPA CIEGA 100X100MM (F.G. 0.80);99.14900177594754
ABZ-00015;7;264.0;37.714285714285715;43.98755235182747;1.0;100.0;ABRAZADERA FG 2 OREJAS 40MM;99.1550442043693
CUC-00002;34;262.0;7.705882352941177;8.691791361776286;1.0;40.0;"CURVA EMT 25MM/ 1"" -UL";99.16104085681819
TBC-00014;12;255.0;21.25;37.1045819273038;1.0;100.0;TUBERIA CONDUIT FLEXIBLE LIVIANO 15MM 1/2”;99.16687729336194
CPE-00370;5;253.0;50.6;40.630038149132965;15.0;120.0;CAJA DE PASE 150X150X50MM 3/4 (F.G.1.50);99.1726679539328
TCE-00003;1;250.0;250.0;;250.0;250.0;TACO TIPO MARIPOSA 3/8;99.17838995054433
TPC-00012;1;250.0;250.0;;250.0;250.0;TAPA CIEGA 100X100MM (F.G 0.90);99.18411194715586
CPE-00371;10;243.0;24.3;24.28099393901878;4.0;87.0;CAJA DE PASE 200X200X100MM 3/4 (F.G.1.50);99.18967372786226
BANR-00009;5;242.2;48.44;61.36650552214946;2.4;153.6;BANDEJA RANURADA 300X100MMX2.40MT S/TAPA (F.G. 1.20);99.1952171981795
CPE-00448;5;241.0;48.2;56.913970165505056;3.0;120.0;CAJA DE PASE 200X200X100MM 3/4 (F. G. 1.20).;99.20073320291301
'89;20;240.0;12.0;14.828848129308806;1.0;47.0;TAPA 250X250MM (F.G.0.75);99.20622631966008
'45;7;238.0;34.0;36.72873534441391;4.0;100.0;CAJA DE PASE 200X200X70MM 3/4 (F.G.1.50);99.21167366043424
CPE-00075;37;236.0;6.378378378378378;9.514174663076117;1.0;45.0;CAJA DE PASE 250X250X100MM (F.G. 1.20).;99.21707522523553
CPE-01035;33;233.0;7.0606060606060606;6.17423777653664;1.0;25.0;CAJA DE PASE 200X200X100MM CIEGA (F.G. 0.80).;99.22240812607747
CPE-00395;6;232.0;38.666666666666664;26.650828630019493;1.0;60.0;"CAJA DE PASE 500X300X100MM HCO 1"" (F.G. 0.90)";99.22771813893297
CPE-00518;3;230.0;76.66666666666667;61.19912853410033;6.0;112.0;CAJA DE PASE 100X100X55MM 1/2 (F. G. 1.20);99.23298237581557
TPC-00027;4;229.0;57.25;44.724154547626725;5.0;95.0;TAPA CIEGA 100X100MM (F.G. 1.20);99.23822372471173
CPE-00030;5;228.0;45.6;40.66079192539171;1.0;100.0;CAJA DE PASE 100X100X100MM CIEGA (F.G. 1.20);99.24344218562143
CPE-00182;3;225.0;75.0;43.30127018922193;25.0;100.0;CAJA DE PASE 100X100X40MM 3/4 (F. G. 0.90);99.24859198257181
CPE-00100;46;221.0;4.804347826086956;4.2248974489455104;1.0;19.0;CAJA DE PASE 300X300X150MM CIEGA (F.G. 1.20).;99.2536502275764
CPE-00066;42;221.0;5.261904761904762;7.902020500524437;1.0;45.0;CAJA DE PASE 200X200X150MM (F.G. 0.75).;99.25870847258099
CPE-01017;3;220.0;73.33333333333333;25.166114784235834;50.0;100.0;CAJA GANG 100X100X50MM 3/4 S/TAPA (F.G 0.75).;99.26374382959912
TUCA-00002;2;220.0;110.0;127.27922061357856;20.0;200.0;TUERCA  ACOPLE 3/8 (UNION);99.26877918661727
CEO-017;2;217.0;108.5;58.68986283848344;67.0;150.0;CAJA OCTOG 100X55MM BR 1/2 (F.G 1.50);99.27374587967607
CPE-00076;7;217.0;31.0;51.87806215861704;1.0;145.0;CAJA DE PASE 250X250X100MM (F.G. 1.50);99.27871257273488
CP-00094;2;216.0;108.0;130.10764773832474;16.0;200.0;CAJA DE PASE 900X900X250MM CIEGA (F.G.1.00);99.28365637780723
CPE-00045;9;215.0;23.88888888888889;47.836817526996;1.0;150.0;CAJA DE PASE 150X150X75MM CIEGA (F. G. 1.50).;99.28857729489314
ABZ-00014;8;211.0;26.375;21.070883770196797;3.0;60.0;"ABRAZADERA UNISTRUT 1""";99.29340666003327
CP-00048;37;209.0;5.648648648648648;6.111083811022832;1.0;30.0;CAJA DE PASE 300X300X100MM (F.G. 1.20).;99.29819024920052
TBC-00004;16;206.0;12.875;15.666843970627907;1.0;57.0;"TUBERIA CONDUIT EMT 15MM/ 1/2"" X 3MTS-UL PESADO";99.30290517440841
TBC-00003;11;204.0;18.545454545454547;29.398515732477506;1.0;96.0;"TUBERIA CONDUIT EMT 25MM/ 1"" LIVIANO	";99.30757432364341
CPE-00001;4;204.0;51.0;73.64781055808787;1.0;157.0;"CAJA RECTANGULAR SOLDADA 100X55X50MM  1"" (F. G. 1.50)";99.31224347287842
'66;37;202.0;5.45945945945946;10.131344636529949;1.0;62.0;CAJA DE PASE 200X200X150MM CIEGA (F.G.0.75);99.31686684614053
CP-00028;13;200.0;15.384615384615385;24.523928660047048;1.0;70.0;CAJA DE PASE 150X150X100MM (F. G. 1.50);99.32144444342975
CPE-00968;1;200.0;200.0;;200.0;200.0;CAJA DE PASE 100X100X55MM 1/2 (F. G. 0.75);99.32602204071897
CPE-00467;9;199.0;22.11111111111111;35.515646004417704;2.0;101.0;CAJA DE PASE 150X150X100MM 3/4 (F.G. 0.90).;99.33057675002175
CPEH-00016;2;194.0;97.0;0.0;97.0;97.0;CAJA DE PASE 150X150X75MM HERMETICA (F.G. 1.20);99.33501701939228
COC-00012;7;194.0;27.714285714285715;54.02997404439591;2.0;150.0;"CONECTOR HERMETICO RECTO 25MM/ 1"" LIQUID TIGHT";99.33945728876283
CPE-00013;13;193.0;14.846153846153847;15.836909177857033;1.0;50.0;CAJA DE PASE 100X100X75MM  3/4 (F. G. 0.75).;99.34387467014693
GA-00002;6;192.0;32.0;11.40175425099138;13.0;40.0;GABINETE ADOSABLE 200X200X150MM CIEGA (F.G. 1.20);99.34826916354457
CPE-00430;1;192.0;192.0;;192.0;192.0;"CAJA GANG 100X100X50MM 1"" (F.G. 0.90)";99.35266365694223
TPH-00015;2;190.0;95.0;7.0710678118654755;90.0;100.0;TAPA RECTANGULAR Ø 1/2 (F°G° 0.75);99.35701237436699
TV - 00004;1;184.0;184.0;;184.0;184.0;TAPA PARA VALVULA 270X270MM (F.G. 0.90);99.36122376387307
