Código;Stock_Min;Stock_Promedio;Stock_Max;Stock_Std;Num_Registros;Bodega_Principal
CPE-00612;0.0;1.9230769230769231;10.0;3.252218177939955;13;Sin asignar
CPE-00867;0.0;1.9090909090909092;7.0;3.2696955654783966;11;Almacen Punto de Ventas 1
CPE-00054;0.0;1.9;6.0;2.2335820757001272;10;Sin asignar
CUC-00005;0.0;1.8888888888888888;9.0;3.7564758898615485;9;Sin asignar
CPE-00624;0.0;1.8823529411764706;9.0;3.018326376925971;17;Almacen Central
CPE-00238;0.0;1.878787878787879;8.0;2.9342543319979075;33;Almacen Central
TR-00008;0.0;1.875;6.0;2.748376143938713;8;Sin asignar
CZR-00004;0.0;1.875;6.0;2.748376143938713;8;Sin asignar
TR-00009;0.0;1.875;6.0;2.748376143938713;8;Sin asignar
BANE-00032;0.0;1.8571428571428572;13.0;4.913538149119954;7;Sin asignar
CPE-00734;0.0;1.8571428571428572;13.0;4.913538149119954;7;Sin asignar
BANE-00005;0.0;1.8571428571428572;13.0;4.913538149119954;7;Sin asignar
CPE-01064;0.0;1.8571428571428572;13.0;4.913538149119954;7;Sin asignar
BANE-00033;0.0;1.8571428571428572;13.0;4.913538149119954;7;Sin asignar
CPE-00102;0.0;1.8571428571428572;13.0;4.913538149119954;7;Sin asignar
TPH-00021;0.0;1.8571428571428572;13.0;4.913538149119954;7;Sin asignar
CPE-00074;0.0;1.8461538461538463;8.0;2.7032743678162428;13;Sin asignar
CCL-00002;0.0;1.7777777777777777;10.0;3.6666666666666665;9;Sin asignar
TP-0008;0.0;1.7777777777777777;10.0;3.6666666666666665;9;Sin asignar
CPE-00215;0.0;1.7777777777777777;8.0;3.5276684147527875;9;Sin asignar
CPE-00428;0.0;1.7777777777777777;9.0;3.5629263877386586;9;Sin asignar
CPE-00112;0.0;1.7741935483870968;9.0;2.512763119480954;31;Almacen Central
CERCD-00003;0.0;1.75;7.0;2.2949219304078006;16;Almacen Punto de Ventas 1
CTF-E-00004;0.0;1.7272727272727273;13.0;3.926599268856171;11;Sin asignar
CP-00100;0.0;1.7272727272727273;12.0;3.7440862460928725;11;Almacen Central
CPE-00284;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
TV - 00010;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
CPE-00920;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
BANR-00101;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
CTF-00024;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
CPE-00979;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
BANR-00027;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
CPE-00057;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
CPE-00003;0.0;1.7142857142857142;6.0;2.9277002188455996;7;Sin asignar
CPEH-00065;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
TP-0013;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
CPE-01010;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
CPE-01077;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
TPC-00026;0.0;1.7142857142857142;12.0;4.535573676110727;7;Sin asignar
