Semana_Inicio;Planchas_CER001;Costo_CER001;Planchas_CER005;Costo_CER005;Planchas_CER004;Costo_CER004;Planchas_CERE002;Costo_CERE002;Planchas_CEO001;Costo_CEO001;Planchas_CEO006;Costo_CEO006;Planchas_CER008;Costo_CER008;Planchas_Total;Costo_Total
2022-02-21;14.0;1819.2999999999997;2.1;272.895;0.0;0.0;0.0;0.0;0.0;0.0;34.199999999999996;4444.289999999999;0.0;0.0;50.3;6536.484999999999
2022-02-28;76.566;9949.751699999999;0.0;0.0;0.0;0.0;15.064;3037.35432;0.0;0.0;22.95;2982.3524999999995;0.0;0.0;114.58;15969.458519999998
2022-03-07;0.0;0.0;0.0;0.0;9.1;1834.8329999999999;45.5;9174.164999999999;0.0;0.0;0.0;0.0;0.0;0.0;54.6;11008.998
2022-03-14;0.539;70.04305;39.102000000000004;5081.3049;0.014;2.82282;44.688;9010.44144;0.0;0.0;0.0;0.0;0.0;0.0;84.34300000000002;14164.612210000001
2022-03-21;0.0;0.0;0.0;0.0;0.0;0.0;27.461000000000002;5536.96143;0.0;0.0;42.614999999999995;5537.819249999999;0.0;0.0;70.076;11074.78068
2022-03-28;0.0;0.0;31.5;4093.4249999999997;11.186;2255.43318;0.0;0.0;45.0;5847.749999999999;0.0;0.0;0.72;145.1736;88.406;12341.78178
2022-04-04;0.0;0.0;19.859;2580.67705;0.0;0.0;0.0;0.0;5.895;766.0552499999999;50.80499999999999;6602.109749999999;25.65;5171.809499999999;102.209;15120.651549999999
2022-04-11;14.0;1819.2999999999997;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;14.0;1819.2999999999997
2022-04-18;44.1;5730.795;34.65;4502.767499999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;78.75;10233.5625
2022-04-25;5.054;656.7673;35.672000000000004;4635.5764;0.091;18.34833;72.065;14530.46595;0.0;0.0;0.0;0.0;0.0;0.0;112.882;19841.15798
2022-05-02;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;30.599999999999998;3976.4699999999993;44.397;5769.390149999999;0.0;0.0;74.997;9745.860149999999
2022-05-09;17.5;2274.125;0.0;0.0;0.7000000000000001;141.14100000000002;0.665;134.08395000000002;51.065999999999995;6636.0266999999985;51.00299999999999;6627.8398499999985;0.0;0.0;120.934;15813.216499999997
2022-05-16;39.879;5182.2760499999995;28.0;3638.5999999999995;0.0;0.0;15.75;3175.6725;0.0;0.0;0.0;0.0;0.0;0.0;83.62899999999999;11996.54855
2022-05-23;0.0;0.0;4.739;615.83305;18.123;3654.14049;13.468;2715.55284;18.0;2339.1;50.769;6597.431549999999;22.166999999999998;4469.532209999999;127.26599999999999;20391.59014
2022-05-30;0.35000000000000003;45.4825;1.827;237.41864999999999;21.084;4251.16692;0.0;0.0;32.849999999999994;4268.857499999999;0.0;0.0;0.0;0.0;56.11099999999999;8802.92557
2022-06-06;45.073;5857.236349999999;0.0;0.0;6.09;1227.9267;38.752;7813.56576;0.0;0.0;0.0;0.0;29.249999999999996;5897.677499999999;119.16499999999999;20796.40631
2022-06-13;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.036;4.6781999999999995;0.0;0.0;0.0;0.0;0.036;4.6781999999999995
2022-06-20;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;43.812;5693.3694;30.653999999999996;3983.4872999999993;0.0;0.0;74.466;9676.856699999998
2022-06-27;21.0;2728.95;36.064;4686.516799999999;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;57.064;7415.466799999999
2022-07-04;24.577;3193.78115;0.14;18.193;0.0;0.0;0.0;0.0;28.349999999999998;3684.0824999999995;0.0;0.0;0.0;0.0;53.067;6896.0566499999995
2022-07-11;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;27.944999999999997;3631.4527499999995;0.0;0.0;0.0;0.0;27.944999999999997;3631.4527499999995
2022-07-18;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-07-25;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
2022-08-01;0.0;0.0;35.35;4593.7325;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;35.35;4593.7325
2022-08-08;0.0;0.0;16.457;2138.58715;0.0;0.0;28.0;5645.639999999999;0.0;0.0;0.0;0.0;0.0;0.0;44.457;7784.227149999999
2022-08-15;54.25;7049.787499999999;28.0;3638.5999999999995;0.0;0.0;0.0;0.0;0.0;0.0;50.858999999999995;6609.127049999999;0.0;0.0;133.10899999999998;17297.51455
2022-08-22;2.205;286.53974999999997;5.747;746.82265;0.0;0.0;14.931000000000001;3010.53753;36.242999999999995;4709.777849999999;14.219999999999999;1847.8889999999997;23.211;4680.03393;96.557;15281.600709999997
2022-08-29;0.0;0.0;0.0;0.0;18.151;3659.78613;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;18.151;3659.78613
2022-09-05;45.304;5887.2548;45.5;5912.724999999999;0.0;0.0;17.619;3552.51897;0.0;0.0;0.0;0.0;0.0;0.0;108.423;15352.498769999998
2022-09-12;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;50.903999999999996;6614.974799999999;0.0;0.0;50.903999999999996;6614.974799999999
2022-09-19;0.0;0.0;0.0;0.0;0.0;0.0;9.268;1868.70684;0.0;0.0;0.0;0.0;0.0;0.0;9.268;1868.70684
2022-09-26;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;52.407;6810.289649999999;0.0;0.0;0.0;0.0;52.407;6810.289649999999
2022-10-03;0.0;0.0;0.0;0.0;0.0;0.0;13.65;2752.2495;0.0;0.0;0.0;0.0;0.0;0.0;13.65;2752.2495
2022-10-10;0.0;0.0;0.0;0.0;0.0;0.0;6.125;1234.9837499999999;0.0;0.0;0.0;0.0;0.0;0.0;6.125;1234.9837499999999
2022-10-17;44.800000000000004;5821.76;0.0;0.0;0.0;0.0;1.4000000000000001;282.28200000000004;0.0;0.0;0.0;0.0;0.0;0.0;46.2;6104.042
